﻿﻿﻿﻿﻿﻿﻿﻿timestamp_utc;sessions_count;effort_rows;sprint_rows;effort_accuracy;effort_precision;effort_recall;effort_f1;effort_start_delta_mae;effort_end_delta_mae;sprint_accuracy;sprint_precision;sprint_recall;sprint_f1;sprint_start_delta_mae;sprint_end_delta_mae;timestamp_utc
2026-04-25T18:29:54.126090+00:00;5;95;13;0.9157894736842104;0.9166666666666666;0.9871794871794872;0.9506172839506172;12.461898250257391;14.016557315462984;0.8461538461538461;0.8461538461538461;1.0;0.9166666666666666;3.938801753276493;4.068198619839677;
;7;132;19;0.9393939393939394;0.9292929292929292;0.989247311827957;0.9583333333333334;10.501414117083062;14.777167417685174;0.7894736842105263;0.8333333333333334;0.9375;0.8823529411764706;4.7629906617932845;4.88078907997826;2026-04-27T15:03:44.111535+00:00
;9;163;24;0.9570552147239264;0.9426229508196722;1.0;0.9704641350210972;20.99145827044972;20.05183713024856;0.8333333333333334;0.8695652173913043;0.9523809523809524;0.9090909090909092;4.267301762515369;3.402291376998619;2026-04-27T19:28:48.331910+00:00
;11;199;27;0.9396984924623116;0.9310344827586208;0.9854014598540146;0.9574468085106383;18.23520475632546;20.895023770829823;0.7037037037037037;0.8181818181818182;0.8181818181818182;0.8181818181818182;4.054990285136564;2.930795993548128;2026-04-27T19:45:22.758804+00:00
;14;311;32;0.945337620578778;0.9234449760765552;0.9948453608247424;0.957816377171216;14.979441386152748;17.51956068554783;0.8125;0.88;0.88;0.88;3.3217140336210536;2.49258382410917;2026-04-27T20:08:47.816204+00:00
;15;359;38;0.9498607242339832;0.9294605809128632;0.9955555555555556;0.96137339055794;16.322958728885546;16.882402570722142;0.7631578947368421;0.8620689655172413;0.8333333333333334;0.847457627118644;2.815828098977605;2.1823473972700054;2026-04-28T13:19:49.632178+00:00
;16;400;42;0.9575;0.9393939393939394;0.9959839357429718;0.9668615984405458;15.57146870516695;15.930417603006664;0.7619047619047619;0.8235294117647058;0.875;0.8484848484848485;2.852295470920702;2.607758886999444;2026-04-28T13:48:10.829499+00:00
;17;449;42;0.9643652561247216;0.95;0.9965034965034965;0.9726962457337884;15.827028425964038;14.775258441186129;0.7619047619047619;0.8235294117647058;0.875;0.8484848484848485;2.852295470920702;2.607758886999444;2026-05-01T19:40:03.727253+00:00
;23;697;42;0.9670014347202296;0.9614643545279383;0.9940239043824701;0.9774730656219393;13.079386175344563;12.369553909664072;0.7619047619047619;0.8235294117647058;0.875;0.8484848484848485;2.852295470920702;2.607758886999444;2026-05-10T09:01:40.814080+00:00
